Index,Query(한글),LLM Output
0BSKEH,앤트워프의 월요일 날씨 전망을 표시해주세요,"<function_MO>(timeframe=3, location=""앤트워프"")<end>"
0BSLTV,새로 시작한 취미가 너무 재미있어서 시간 가는 줄 모르겠어,<function_MR>()<end>
0BTVBV,현재 판교 공기질 알려주세요 그리고 새로 시작한 운동이 뭐야,"<function_IO>(timeframe=0, location=판교);<function_MR>()<end>"
0BWRJQ,청정 켜봐 이어서 음성을 남자로 전환해줄래,<function_PG>();<function_GQ>(gender=2)<end>
0BYOOB,이번 달은 너무 바빠서 친구들 만날 시간이 없었어,<function_MR>()<end>
0CAISP,풍량 강풍으로 바꿔줘,<function_NK>(speed=3)<end>
0CBIBZ,풍량을 조금 줄여주세요,<function_NK>(speed=-1)<end>
0CEMNU,고정 공기 청정 실행해줘 이어서 밝기를 2로 조정해줘,<function_PG>();<function_WN>(brightness=2)<end>
0CGIRU,음량을 영으로 설정해줘,<function_ZV>(volume=0)<end>
0CIGVC,처음 위치로 돌아가주면 좋겠어 엘이디를 팔십프로로 바꿔줘,<function_KI>();<function_WN>(brightness=4)<end>
0CLRLO,월요일 날씨 전망을 표시해줄 수 있어,"<function_MO>(timeframe=3, location=""0"")<end>"
0CSFLE,오늘 저녁은 뭘 먹을지 고민 중이야 배는 고픈데 딱히 생각나는 게 없어,<function_MR>()<end>
0CSGIE,내일 중요한 발표가 있는데 너무 긴장 돼 잘해야 할 텐데 그리고 청정 결과 보고서 보여줘,<function_MR>();<function_CE>()<end>
0CTIHT,웰컴 기능이 뭐야,<function_EN>(type=4)<end>
0CUUMZ,요즘 읽고 있는 책이 정말 흥미로워,<function_MR>()<end>
0CVLAX,스캐닝 공기청정 종료,<function_IH>(scan=False)<end>
0CWOFW,상단 화면에 대해 설명해 줘,<function_JS>(type=7)<end>
0CWWOW,목요일 워르소 날씨에 눈 오니,"<function_MO>(timeframe=6, location=""워르소"")<end>"
0CYSFB,새로운 가방을 사고 싶은데 어떤 게 좋을까 고민 중이야,<function_MR>()<end>
0DBFXU,월요일 하얼빈 날씨 알려줘,"<function_MO>(timeframe=3, location=""하얼빈"")<end>"
0DCNQW,이제 그만 복귀해 그리고 화면 밝기를 4단계로 조정해줄래,<function_KI>();<function_WN>(brightness=4)<end>
0DFGKQ,요즘 스트레스를 너무 많이 받아서 운동으로 풀려고 해,<function_MR>()<end>
0DJGSA,현재 공기질 모니터링 어떤지 알려줘,"<function_IO>(timeframe=0, location=""0"")<end>"
0DRMGA,아지트 청정 모드 가동해봐,"<function_FF>(position=""아지트"")<end>"
0DRWCS,이번 주말에는 그냥 집에서 편하게 쉬고 싶어,<function_MR>()<end>
0DTVES,주말 나이로비 날씨 더워,"<function_MO>(timeframe=2, location=""나이로비"")<end>"
0DUGVV,지금 공기질 모니터링 상태 확인하게 해주세요,"<function_IO>(timeframe=0, location=""0"")<end>"
0DVAKD,화요일 마르세유 날씨 알려주세요,"<function_MO>(timeframe=4, location=""마르세유"")<end>"
0DVGFP,설계실에서 청정해보실래요,"<function_FF>(position=""설계실"")<end>"
0DWUKW,릴렉스 모드의 특징에 대해 알려주세요,<function_EN>(type=6)<end>
0DYSDC,이번 주말에는 그냥 집에서 푹 쉬려고 해,<function_MR>()<end>
0EDYNH,풍량을 낮춰주세요,<function_NK>(speed=-1)<end>
0EERGG,음성인식 기능 활성화 해줘,<function_QT>(enable=True)<end>
0EIZRQ,효과음을 이단계로 설정해줘,<function_ZV>(volume=2)<end>
0EKBGS,엘이디 밝기가 몇프로야,<function_WN>(get=True)<end>
0EKYLI,이 음악 들어봤어 그 후에 전체 공간 청정 해줘,<function_MR>();<function_EF>(action=1)<end>
0ELHUG,선택한 구역 청정 시작해볼게,<function_FF>(position=-1)<end> 
0EPTKU,월요일 멜버른 날씨 몇 도일까,"<function_MO>(timeframe=3, location=""멜버른"")<end>"
0EQFYI,공기질 모니터링 상황 좀 보여줄래,"<function_IO>(timeframe=0, location=""0"")<end>"
0EQLFH,좋아하는 책이 뭐야,<function_MR>()<end>
0ERBIY,오늘은 아무것도 하기 싫어서 그냥 집에 있을래,<function_MR>()<end>
0EYUVH,프라이버시 모드 중지해줘,<function_GN>(enable=False)<end>
0EZKGQ,볼륨 일로 해줘,<function_ZV>(volume=1)<end>
0EZPFP,충전하러 복귀 이어서 음소거 되어있나요,<function_KI>();<function_MV>(get=True)<end>
0FAWUP,다음 주에 있을 모임 준비를 미리 해둬야겠어,<function_MR>()<end>
0FBNXU,새로 개봉한 영화 봐야겠어,<function_MR>()<end>
0FCFHC,일정을 잘못 짜서 오늘 하루 종일 바쁘게 움직였어,<function_MR>()<end>
0FEYIH,커피 한 잔 마시러 갈래,<function_MR>()<end>
0FFTCF,고정 청정 온 그리고 공기질 상태 표시 작동 중인지 알려줘,<function_PG>();<function_SC>(get=True)<end>
0FHSYX,지금 밝기 몇단계야,<function_WN>(get=True)<end>
0FILTG,이제 그만 복귀해 효과음을 5단계로 바꿔줘,<function_KI>();<function_ZV>(volume=5)<end>
0FLTFS,나 쪽으로 돌려줄래?,<function_FR>()<end>
0FMZYF,일요일 날씨 몇 도야,"<function_MO>(timeframe=9, location=""0"")<end>"
0FQABR,새로 나온 영화 예고편 봤어 되게 재밌어 보이더라 이어서 수요일 나폴리 공기질 때문에 마스크 써야 할까,"<function_MR>();<function_IO>(timeframe=5, location=나폴리)<end>"
0FQPUP,고정 공기 청정 실행해줘 그 다음에 프라이버시 상태 확인해줘,<function_PG>();<function_GN>(get=True)<end>
0FTAMX,충전하러 복귀 그 다음에 월요일 공기질 상태 알려줘,"<function_KI>();<function_IO>(timeframe=3, location=""0"")<end>"
0FUQCU,목요일 슈투트가르트 날씨 어때요,"<function_MO>(timeframe=6, location=""슈투트가르트"")<end>"
0FVGFB,스테이션 위치로 복귀하세요 그리고 일요일 미세먼지 정보 보여줘,"<function_KI>();<function_IO>(timeframe=9, location=""0"")<end>"
0GAYWN,엘이디 아이에 대해 설명해 줘,<function_JS>(type=7)<end>
0GCNJQ,화면에 있는 에러코드를 설명해줘,<function_UY>()<end>
0GEHXS,내일 중요한 미팅 있어 이어서 바람 강도 자동으로 맞춰줘,<function_MR>();<function_NK>(speed=0)<end>
0GGEKN,오늘 하루가 너무 바빴어 이제 좀 쉬고 싶어 그 후에 제 방향으로 돌려주실래요,<function_MR>();<function_FR>()<end>
0GGUSB,내일은 일찍 일어나서 하루를 길게 써볼 생각이야,<function_MR>()<end>
0GHJNO,이번 달은 정신없이 바빠서 친구들 만날 시간이 없었어,<function_MR>()<end>
0GJEHI,고정 공기 청정 가동 시작해줘 그러고 나서 하이나무 남자로 설정해주세요,<function_PG>();<function_GQ>(gender=2)<end>
0GKANF,처음 위치로 돌아가주면 좋겠어 그리고 유부이 에릴디 작동 중이야,<function_KI>();<function_NN>(get=True)<end>
0GKCAJ,다음 달에 있을 중요한 발표를 준비 중이야,<function_MR>()<end>
0GLNYO,오늘 할 일 많아,<function_MR>()<end>
0GNSLV,고정 공청 기능 켜줘 월요일 카이로 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=3, location=카이로)<end>"
0GQEZB,다음 달에 있을 시험 준비를 열심히 해야 할 것 같아,<function_MR>()<end>
0GSFUQ,섭씨 단위가 편해요,<function_EW>(type=0)<end>
0GVAUX,주말 루체른 날씨가 어떤가요,"<function_MO>(timeframe=2, location=""루체른"")<end>"
0GVSTL,금요일 날씨 말해줘요,"<function_MO>(timeframe=7, location=""0"")<end>"
0GXMKD,새로운 요리법 배웠어 그리고 공기질 상태 표시 켜져있어,<function_MR>();<function_SC>(get=True)<end>
0GYMZT,엘이디 화면밝기를 사단계로 설정해줘,<function_WN>(brightness=4)<end>
0HACJP,새로 나온 레스토랑 가봤어,<function_MR>()<end>
0HATUG,그림방에서 공기청정 해보면 좋겠어,"<function_FF>(position=""그림방"")<end>"
0HAVQG,배터리 잔량이 얼마인지 확인해줘,<function_JJ>()<end>
0HBBYT,넌 무슨 음식을 좋아해,<function_MR>()<end>
0HBSJG,현재 해운대 공기질 상황 어때,"<function_IO>(timeframe=0, location=""해운대"")<end>"
0HDQTQ,넌 어떻게 생각해,<function_MR>()<end>
0HFJLQ,유브이 살균 엘이디 좀 켜줘,<function_NN>(enable=True)<end>
0HFNAV,청정 켜봐 그리고 매너모드 켜줘,<function_PG>();<function_ZX>(enable=True)<end>
0HIIWN,다음 주에 있을 약속이 취소돼서 좀 아쉽다 그 다음에 수요일 날씨 알려줘,"<function_MR>();<function_MO>(timeframe=5, location=""0"")<end>"
0HMYJR,주말 포항 날씨 어때,"<function_MO>(timeframe=2, location=""포항"")<end>"
0HNNYI,요즘 들어 일찍 자고 일찍 일어나니까 기분이 상쾌해,<function_MR>()<end>
0HPWZU,새로 시작한 다이어트가 생각보다 힘드네,<function_MR>()<end>
0HRDBU,목요일 남원 날씨 좀 알려줄래,"<function_MO>(timeframe=6, location=""남원"")<end>"
0HTSOU,어떤 영화가 좋을까,<function_MR>()<end>
0HUTGI,주말에 계획 있어,<function_MR>()<end>
0IFMPP,고정 청정 온 일요일 미세먼지 농도 어때,"<function_PG>();<function_IO>(timeframe=9, location=""0"")<end>"
0IIONW,집에서 할 수 있는 운동 추천해 줄 수 있어,<function_MR>()<end>
0ILGGD,충전하러 복귀 다음으로 주말 공기질 지수를 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=2, location=""0"")<end>"
0INURX,테마를 실내 공기질로 설정해줘,<function_HG>(theme=2)<end>
0IRLAD,중구 주말 날씨 알려줘,"<function_MO>(timeframe=2, location=""중구"")<end>"
0IZVJR,목요일 광진구 공기질 걱정해야 할까 그 후에 다음 달에 친구랑 여행 갈 계획 세우고 있어,"<function_IO>(timeframe=6, location=광진구);<function_MR>()<end>"
0JANXX,기기 언어 한국어로 바꿔줘,<function_HS>(type=1)<end>
0JBLYJ,매너모드 작동시켜줘,<function_ZX>(enable=True)<end>
0JEAEC,자기계발서 추천해줄래,<function_MR>()<end>
0JGZKX,월요일 익산 날씨 좀 알려주세요,"<function_MO>(timeframe=3, location=""익산"")<end>"
0JJWJX,금요일 화성 날씨 알려줘,"<function_MO>(timeframe=7, location=""화성"")<end>"
0JLKSG,요즘 뭐하고 있는지 말해봐,<function_MR>()<end>
0JOWSJ,오늘 저녁은 간단하게 파스타나 만들어 먹어야겠어,<function_MR>()<end>
0JPVJP,대기화면이 기본 테마로 설정됐어,<function_HG>(get=True)<end>
0JUUOY,오늘 하루가 너무 길어서 이제 좀 쉬고 싶어,<function_MR>()<end>
0JVNSL,동호회방 청정 작동시켜줄래,"<function_FF>(position=""동호회방"")<end>"
0JWHPV,새로 산 자전거를 타고 근처 공원을 돌면 좋을 것 같아,<function_MR>()<end>
0JWPYK,이번에 여행 가서 사진 많이 찍자,<function_MR>()<end>
0JXTDC,이번 주말에 뭐 할 계획 있어 그러고 나서 엘이디 밝기를 40프로로 설정해줘,<function_MR>();<function_WN>(brightness=2)<end>
0JXUWS,내일은 뭐 할 계획이야,<function_MR>()<end>
0KFMBG,오늘 저녁으로 뭐 먹을지 아직도 고민 중이야,<function_MR>()<end>
0KFVMG,언어 바꿔줘,<function_HS>(type=-1)<end> 
0KGFNC,고정 공기 청정 가동 시작해줘 그러고 나서 센서 민감도 상태 알려주세요,<function_PG>();<function_QD>(get=True)<end>
0KGRNT,고정 공청 기능 켜줘 그 다음에 엘씨디 조도를 삼단계로 맞춰줄래,<function_PG>();<function_WN>(brightness=3)<end>
0KOGIY,소리 볼륨을 사로 맞춰줘 그리고 이번 주에 할 일이 많아서 큰일이야,<function_ZV>(volume=4);<function_MR>()<end>
0KONIM,출입구측에서 공기청정해줄 수 있어요,"<function_FF>(position=""출입구측"")<end>"
0KXCPQ,처음 위치로 돌아가주면 좋겠어 그 다음에 일요일 공기질 상태 알려줘,"<function_KI>();<function_IO>(timeframe=9, location=""0"")<end>"
0KXCWL,오늘은 하루 종일 비가 와서 기분이 축 처지네,<function_MR>()<end>
0KZCSN,반오픈형에서 공기청정 시작해줄 수 있어,"<function_FF>(position=""반오픈형"")<end>"
0LBKEA,준영이방에서 공기청정 해주실래요,"<function_FF>(position=""준영이방"")<end>"
0LCDVR,이 영화 예고편 봤어 다음으로 풍량을 터보로 바꿔줘,<function_MR>();<function_NK>(speed=4)<end>
0LCHIL,공기질 모니터링 확인 필요해,"<function_IO>(timeframe=0, location=""0"")<end>"
0LCPQT,오늘 일정은 어떻게 돼 그리고 화면 밝기를 3단계로 조정해줄래,<function_MR>();<function_WN>(brightness=3)<end>
0LDFUB,오랜만에 부모님과 시간을 보내려고 계획 중이야 그리고 에이아이 모드에서 공간별 누적 공기질 정보 연동 꺼주세요,"<function_MR>();<function_BP>(enable=1, type=1)<end>"
0LJMYM,사용되는 온도 표시를 말씀해주세요,<function_EW>(get=True)<end>
0LPUYJ,주말 날씨 보여줘,"<function_MO>(timeframe=2, location=""0"")<end>"
0LRQLL,실내 공기질 모니터링 창을 열어줘,"<function_IO>(timeframe=0, location=""0"")<end>"
0LVBFV,미디음 오로 맞춰 또 아 맛있는 거 먹고 싶은걸,<function_ZV>(volume=5);<function_MR>()<end>
0LYBKB,등산할 때 필요한 장비가 뭐가 있을까,<function_MR>()<end>
0MABYU,다음 달에 있을 중요한 발표 준비로 바빠,<function_MR>()<end>
0MBHUR,고정 공기 청정 실행해줘 다음으로 목소리 설정이 어떻게 되어있나요,<function_PG>();<function_GQ>(get=True)<end>
0MCJLT,내일 날씨 추울까 그 다음에 내일은 조금 일찍 일어나서 할 일 좀 미리 해둬야겠어,"<function_MO>(timeframe=1, location=""0"");<function_MR>()<end>"
0MCPHM,청정 켜봐 그 다음에 월요일 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=3, location=""0"")<end>"
0MCXQC,충전하러 복귀 그 다음에 전체 공간 청정 해줘,<function_KI>();<function_EF>(action=1)<end>
0MFXSK,공기청정기의 구성을 설명해줄래.,<function_SB>(type=4)<end>
0MGPDE,어떤 필터를 사용해,<function_SB>(type=2)<end>
0MIHVD,201호실 공기청정 시스템 작동해줄래,"<function_FF>(position=""201호실"")<end>"
0MKSYV,새로 산 가방이 마음에 드는데 무슨 옷이랑 잘 어울릴지 고민이야,<function_MR>()<end>
0MKYDH,하루 종일 앉아있었더니 허리가 너무 아프다 스트레칭을 좀 해야겠어,<function_MR>()<end>
0MLUAO,이 영화 추천할 만해,<function_MR>()<end>
0MRFDI,지금 뭐 하고 있어 이어서 효과음 볼륨이 현재 몇 퍼인지 알고 싶어요,<function_MR>();<function_ZV>(get=True)<end>
0MRSFT,주말 날씨 알려줄래,"<function_MO>(timeframe=2, location=""0"")<end>"
0MRTNE,금요일 해운대 날씨 비 와 이어서 오늘은 하루 종일 바쁘게 보냈는데도 아직 해야 할 일이 남아있어,"<function_MO>(timeframe=7, location=해운대);<function_MR>()<end>"
0MSLWI,화요일 케이프타운 날씨 몇 도일까,"<function_MO>(timeframe=4, location=""케이프타운"")<end>"
0MZAUP,오늘 하루는 너무 길어서 이제 좀 쉬고 싶어,<function_MR>()<end>
0MZPOW,목요일 날씨 몇 도야,"<function_MO>(timeframe=6, location=""0"")<end>"
0NASFW,내일 카트만두 초미세먼지 몇이야,"<function_IO>(timeframe=1, location=""카트만두"")<end>"
0NCQKH,금요일 날씨 정보 표시해줄래,"<function_MO>(timeframe=7, location=""0"")<end>"
0NFKHG,고정 공청 기능 켜줘 그 다음에 엘이디 조명 꺼줘,<function_PG>();<function_WN>(brightness=0)<end>
0NHEGE,토요일 여기 날씨 어때,"<function_MO>(timeframe=8, location=""0"")<end>"
0NJEOM,영어로 기기 언어 설정해줘,<function_HS>(type=2)<end>
0NJUFS,무슨 취미 있어,<function_MR>()<end>
0NNDIW,새로운 레시피로 요리를 해볼까 하는데 뭐가 좋을지 고민 중이야,<function_MR>()<end>
0NQAMP,요즘 드라마 뭐 재밌어,<function_MR>()<end>
0NRWAZ,오늘 하루는 너무 바빴어 이제야 좀 여유가 생겼어,<function_MR>()<end>
0NSZAC,팬 풍냥 터보 세기로 해줘 다음으로 오늘 뭔가 할 게 많아,<function_NK>(speed=4);<function_MR>()<end>
0NTOVG,충전하러 복귀 다음으로 아부다비의 수요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=5, location=아부다비)<end>"
0NZBLE,고정 공청 기능 켜줘 감지 민감도를 낮게 조정할 수 있어,<function_PG>();<function_QD>(type=0)<end>
0NZHTU,내일 강릉 미세먼지 어때,"<function_IO>(timeframe=1, location=""강릉"")<end>"
0OCRRK,101호실 청정해주실래요,"<function_FF>(position=""101호실"")<end>"
0OGNXA,금요일 날씨 많이 추워,"<function_MO>(timeframe=7, location=""보고"")<end>"
0OJVSL,홀C에서 청정 기능 가동해줄 수 있나요,"<function_FF>(position=""홀C"")<end>"
0OKAPN,음소거 해제해줘,<function_MV>(mute=False)<end>
0ONSAA,미팅석 청정 해봐,"<function_FF>(position=""미팅석"")<end>"
0OQSQC,새로 산 자켓이 정말 마음에 들어 매일 입고 다니고 있어,<function_MR>()<end>
0OUBPS,좋아하는 운동 선수가 누구야,<function_MR>()<end>
0OXLOY,오늘 아침부터 정신없었어,<function_MR>()<end>
0OYVXQ,볼륨 삼으로 해줘,<function_ZV>(volume=3)<end>
0OYVXZ,풍속 중풍으로 조정해줘 그 후에 오늘 하루 어땠어,<function_NK>(speed=2);<function_MR>()<end>
0OZVPY,영어로 설정해 그러고 나서 새 앨범 들어봤어,<function_HS>(type=2);<function_MR>()<end>
0PDRVS,요즘 잠이 잘 안 와,<function_MR>()<end>
0PKQWT,오늘 저녁에는 가볍게 산책을 하면서 기분을 전환해야겠어,<function_MR>()<end>
0PMRQS,센서의 민감도를 조정하는 이유는 무엇인가요?,<function_JS>(type=9)<end>
0POJLT,오늘 진짜 힘들었어 다음으로 엘이디 밝기를 이십퍼로 설정해줘,<function_MR>();<function_WN>(brightness=1)<end>
0PQMKL,커피 마실래,<function_MR>()<end>
0PSHSU,청정 리포트 보여줘,<function_CE>()<end>
0PTHFO,현재 온도 표시는 화씨입니까 그리고 주말에 뭘 할지 아직 못 정했는데 그냥 영화나 볼까 생각 중이야,<function_EW>(get=True);<function_MR>()<end>
0PUVTK,일요일 날씨 보여줘,"<function_MO>(timeframe=9, location=""0"")<end>"
0PUZUR,약풍으로 바꿔줘,<function_NK>(speed=1)<end>
0PVKTV,충전 위치로 되돌아가 그 다음에 엘씨디 조명을 2로 줄여줄래,<function_KI>();<function_WN>(brightness=2)<end>
0PVWXP,다음 주에는 꼭 가족들이랑 외식하기로 했어,<function_MR>()<end>
0PXMFZ,수요일 오사카 날씨 비 와요,"<function_MO>(timeframe=5, location=""오사카"")<end>"
0PZUGL,센서 민감도를 낮춰주세요,<function_QD>(get=True)<end>
0QCTAD,감지 감도 레벨을 바꿔줄래요,<function_QD>(type=-1)<end>
0QEABU,산책하러 나가자,<function_MR>()<end>
0QGDVH,주말 날씨 좀,"<function_MO>(timeframe=2, location=""0"")<end>"
0QHSEE,엘이디 밝기 최대로 해줘,<function_WN>(brightness=5)<end>
0QIDJD,한국어로 기기 언어 설정해줘,<function_HS>(type=1)<end>
0QJQMP,금요일 강서구 날씨 알려줘,"<function_MO>(timeframe=7, location=""강서구"")<end>"
0QKUJV,오늘은 그냥 집에서 푹 쉬면서 시간을 보내려고 해,<function_MR>()<end>
0QLKFD,바이탈 사인 측정을 시작해주세요.,<function_GV>()<end>
0QLMYP,드럼 배우고 싶은데 어디서 시작하지 그러고 나서 기기 언어 영어로 바꿔줄래,<function_MR>();<function_HS>(type=2)<end>
0QOADF,큰방 청정해줄래,"<function_FF>(position=""큰방"")<end>"
0QOEFS,고정 청정 온 또 프라이버시 설정 활성화해줄 수 있어,<function_PG>();<function_GN>(enable=True)<end>
0QOIST,전기세가 얼마나 나오는지 계산해줘,<function_HI>(type=2)<end>
0QQGCV,내일 앙카라의 초미세먼지 수치를 보여줘,"<function_IO>(timeframe=1, location=""앙카라"")<end>"
0QWCES,화요일 뉴델리 대기질을 화면에 보여줘 그리고 요즘 공부하는 게 힘들어,"<function_IO>(timeframe=4, location=뉴델리);<function_MR>()<end>"
0QYOZF,스테이션 위치로 복귀하세요 그리고 공기질 모니터링 기능 켜줘,"<function_KI>();<function_IO>(timeframe=0, location=""0"")<end>"
0QYZGY,토요일 퀘벡 날씨 어때,"<function_MO>(timeframe=8, location=""퀘벡"")<end>"
0QZVMD,다른 성별의 목소리로 변경해 주세요.,<function_GQ>(gender=-1)<end>
0RCAOI,이번 주말에는 그냥 쉬면서 영화나 몰아서 볼까 고민 중이야,<function_MR>()<end>
0RGFQL,미세먼지는 왜 건강에 나쁜가요?,<function_HW>(type=1)<end>
0RGUWI,이제 그만 복귀해 이어서 고정 공청 기능 켜줘,<function_KI>();<function_PG>()<end>
0RHUVQ,수요일 양양 날씨 알려죠,"<function_MO>(timeframe=5, location=""양양"")<end>"
0RLGFK,약한 바람으로 해줘,<function_NK>(speed=1)<end>
0RPXRW,청정 켜봐 그리고 기기 언어 영어로 바꿔줄래,<function_PG>();<function_HS>(type=2)<end>
0RQJAF,친구랑 약속이 있었는데 갑자기 취소됐어,<function_MR>()<end>
0RQVYL,충전 위치로 되돌아가 그리고 일요일 전주 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=9, location=전주)<end>"
0RTVFT,다음 휴가는 해외로 가고 싶어,<function_MR>()<end>
0RWIAP,고정 공기 청정 실행해줘 그 후에 엘이디 공기질 상태 표시 기능 작동,<function_PG>();<function_SC>(enable=True)<end>
0RYLDI,오늘은 무슨 일을 해야 할지 모르겠어 그냥 쉬고 싶어 그 다음에 에이아이 모드의 공간별 공기질 데이터 연동 상태로 바꿔줘,"<function_MR>();<function_BP>(enable=0, type=1)<end>"
0SADDT,엘이디 화면밝기를 삼으로 해줘,<function_WN>(brightness=3)<end>
0SIBYE,내일 시드니 포름알데히드 농도 높아,"<function_IO>(timeframe=1, location=""시드니"")<end>"
0SKXEZ,음소거 취소해줘,<function_MV>(mute=False)<end>
0SRVSR,나무 음성 성별 상태 알려줘,<function_GQ>(get=True)<end>
0TBNVZ,프라이버시 모드 작동시켜줘,<function_GN>(enable=True)<end>
0TDJKB,공청기 사용시 예상되는 전기 요금,<function_HI>(type=2)<end>
0TFVWN,주말 마스크 써야 할 정도로 공기 안 좋을까,"<function_IO>(timeframe=2, location=""0"")<end>"
0THOKH,단계별실에서 공기청정해주시면 좋겠어요,"<function_FF>(position=""단계별실"")<end>"
0TIXHQ,목요일 날씨,"<function_MO>(timeframe=6, location=""0"")<end>"
0TJRGN,수요일 날씨 전망을 표시해줄 수 있어 그 다음에 새로운 옷을 사고 싶은데 어떤 스타일이 좋을지 고민이야,"<function_MO>(timeframe=5, location=""0"");<function_MR>()<end>"
0TQURA,오늘 진짜 일 많았어,<function_MR>()<end>
0TQXYH,이번 주에는 할 일이 많아서 시간을 잘 계획해야겠어,<function_MR>()<end>
0TSPLG,주말 날씨 알려죠,"<function_MO>(timeframe=2, location=""0"")<end>"
0TTMRN,당장 에이아이 모드 온 하도록 도와줄거지,"<function_BP>(enable=0, type=-1)<end>"
0TVOMU,내일은 일찍 일어나서 하루를 길게 써야겠어,<function_MR>()<end>
0TWZNZ,이 영화 결말 예상했어,<function_MR>()<end>
0UBAFW,다음 주말에는 오랜만에 가족들이랑 시간을 보내려고 해,<function_MR>()<end>
0UIKER,스캐닝 청정중이야,<function_IH>(get=True)<end>
0ULHFK,온라인 쇼핑 많이 해,<function_MR>()<end>
0UOSCJ,최근에 본 영화 중에 뭐가 제일 좋았어,<function_MR>()<end>
0UPWCI,일반적으로 기기 설치 어디다가 하는 게 좋아,<function_CS>(type=1)<end>
0UZMEO,내일 여기 공기 상태 알려줘,"<function_IO>(timeframe=1, location=""0"")<end>"
0VCXKB,새로 나온 신발이 예쁘더라,<function_MR>()<end>
0VGYDM,오늘은 뭘 입을까,<function_MR>()<end>
0VITXJ,매너모드는 무슨 기능이야,<function_JS>(type=1)<end>
0VOVND,이번 주말에 뭐 할 계획 있어,<function_MR>()<end>
0VPLJC,터치음을 이십퍼로 설정해줘 그 다음에 주말에 만날래,<function_ZV>(volume=1);<function_MR>()<end>
0VRWDW,고정 공청 기능 켜줘 그리고 요즘 드라마 뭐 재밌어,<function_PG>();<function_MR>()<end>
0VSVOX,다음 주말에는 친구들과 등산을 가기로 했어,<function_MR>()<end>
0VUVBW,드럼 배우고 싶은데 어디서 시작하지,<function_MR>()<end>
0VVBXO,다음 주에 있을 발표 준비를 미리 해둬야 할 것 같아,<function_MR>()<end>
0VZUXX,공간별 실내 공기질 상태 보여줘라,"<function_IO>(timeframe=0, location=""0"")<end>"
0WAHMX,이번 주에는 운동을 조금 더 열심히 해야겠어 이어서 실내 공기질 테마로 화면 설정해줘,<function_MR>();<function_HG>(theme=2)<end>
0WCNOZ,이번 달은 정말 정신없이 지나간 것 같아,<function_MR>()<end>
0WFORI,시드니의 목요일 날씨 안내해줘,"<function_MO>(timeframe=6, location=""시드니"")<end>"
0WKHKW,충전 위치로 되돌아가 또 유뷔 엘리디 작동 정지해,<function_KI>();<function_NN>(enable=False)<end>
0WMWLX,설정 가능한 언어에 종류 설명해 줘,<function_JS>(type=8)<end>
0WUGLT,고정 공기 청정 실행해줘 그리고 배터리 몇 퍼센트야,<function_PG>();<function_JJ>()<end>
0WWDSD,어디 가고 싶어 그리고 엘이디 불빛을 60퍼센트로 올려죠,<function_MR>();<function_WN>(brightness=3)<end>
0WWDVR,내일 아침에는 조금 일찍 일어나서 산책이나 할까,<function_MR>()<end>
