Index,Query(한글),LLM Output
0ABOVW,반오픈형에서 공기청정 시작해줄 수 있어,"<function_FF>(position=""반오픈형"")"
0ABOVW,준영이방에서 공기청정 해주실래요,"<function_FF>(position=""준영이방"")"
0ABOVW,이 영화 예고편 봤어,<function_MR>()
0ABOVW,풍량을 터보로 바꿔줘,<function_NK>(speed=4)
0ABOVW,공기질 모니터링 확인 필요해,"<function_IO>(timeframe=0, location=""0"")"
0ABOVW,오늘 일정은 어떻게 돼,<function_MR>()
0ABOVW,화면 밝기를 3단계로 조정해줄래,<function_WN>(brightness=3)
0ABOVW,오랜만에 부모님과 시간을 보내려고 계획 중이야,<function_MR>()
0ABOVW,에이아이 모드에서 공간별 누적 공기질 정보 연동 꺼주세요,"<function_BP>(enable=1, type=1)"
0ABOVW,사용되는 온도 표시를 말씀해주세요,<function_EW>(get=True)
0ABOVW,주말 날씨 보여줘,"<function_MO>(timeframe=2, location=""스포케인"")"
0ABOVW,실내 공기질 모니터링 창을 열어줘,"<function_IO>(timeframe=0, location=""0"")"
0ABOVW,미디음 오로 맞춰,<function_ZV>(volume=5)
0ABOVW,아 맛있는 거 먹고 싶은걸,<function_MR>()
0ABOVW,등산할 때 필요한 장비가 뭐가 있을까,<function_MR>()
0ABOVW,다음 달에 있을 중요한 발표 준비로 바빠,<function_MR>()
0ABOVW,목소리 설정이 어떻게 되어있나요,<function_GQ>(get=True)
0ABOVW,내일 날씨 추울까,"<function_MO>(timeframe=1, location=""0"")"
0ABOVW,내일은 조금 일찍 일어나서 할 일 좀 미리 해둬야겠어,<function_MR>()
0ABOVW,월요일 기기 근처 공기 상태는 어때,"<function_IO>(timeframe=3, location=""0"")"
0ABOVW,공기청정기의 구성을 설명해줄래,<function_SB>(type=4)
0ABOVW,어떤 필터를 사용해,<function_SB>(type=2)
0ABOVW,201호실 공기청정 시스템 작동해줄래,"<function_FF>(position=""201호실"")"
0ABOVW,새로 산 가방이 마음에 드는데 무슨 옷이랑 잘 어울릴지 고민이야,<function_MR>()
0ABOVW,하루 종일 앉아있었더니 허리가 너무 아프다 스트레칭을 좀 해야겠어,<function_MR>()
0ABOVW,이 영화 추천할 만해,<function_MR>()
0ABOVW,지금 뭐 하고 있어,<function_MR>()
0ABOVW,효과음 볼륨이 현재 몇 퍼인지 알고 싶어요,<function_ZV>(get=True)
0ABOVW,주말 날씨 알려줄래,"<function_MO>(timeframe=2, location=""0"")"
0ABOVW,금요일 해운대 날씨 비 와,"<function_MO>(timeframe=7, location=해운대)"
0ABOVW,오늘은 하루 종일 바쁘게 보냈는데도 아직 해야 할 일이 남아있어,<function_MR>()
0ABOVW,화요일 케이프타운 날씨 몇 도일까,"<function_MO>(timeframe=4, location=""케이프타운"")"
0ABOVW,오늘 하루는 너무 길어서 이제 좀 쉬고 싶어,<function_MR>()
0ABOVW,목요일 날씨 몇 도야,"<function_MO>(timeframe=6, location=""0"")"
0ABOVW,내일 카트만두 초미세먼지 몇이야,"<function_IO>(timeframe=1, location=""카트만두"")"
0ABOVW,금요일 날씨 정보 표시해줄래,"<function_MO>(timeframe=7, location=강릉)"
0ABOVW,엘이디 조명 꺼줘,<function_WN>(brightness=0)
0ABOVW,토요일 여기 날씨 어때,"<function_MO>(timeframe=8, location=""0"")"
0ABOVW,영어로 기기 언어 설정해줘,<function_HS>(type=2)
0ABOVW,무슨 취미 있어,<function_MR>()
0ABOVW,새로운 레시피로 요리를 해볼까 하는데 뭐가 좋을지 고민 중이야,<function_MR>()
0ABOVW,요즘 드라마 뭐 재밌어,<function_MR>()
0ABOVW,오늘 하루는 너무 바빴어 이제야 좀 여유가 생겼어,<function_MR>()
0ABOVW,팬 풍냥 터보 세기로 해줘,<function_NK>(speed=4)
0ABOVW,오늘 뭔가 할 게 많아,<function_MR>()
0ABOVW,아부다비의 수요일 날씨 정보 표시해줄래,"<function_MO>(timeframe=5, location=아부다비)"
0ABOVW,감지 민감도를 낮게 조정할 수 있어,<function_QD>(type=0)
0ABOVW,내일 강릉 미세먼지 어때,"<function_IO>(timeframe=1, location=""강릉"")"
0ABOVW,101호실 청정해주실래요,"<function_FF>(position=""101호실"")"
0ABOVW,금요일 날씨 많이 추워,"<function_MO>(timeframe=7, location=""보고"")"
0ABOVW,홀C에서 청정 기능 가동해줄 수 있나요,"<function_FF>(position=""홀C"")"
0ABOVW,음소거 해제해줘,<function_MV>(mute=False)
0ABOVW,미팅석 청정 해봐,"<function_FF>(position=""미팅석"")"
0ABOVW,새로 산 자켓이 정말 마음에 들어 매일 입고 다니고 있어,<function_MR>()
0ABOVW,좋아하는 운동 선수가 누구야,<function_MR>()
0ABOVW,오늘 아침부터 정신없었어,<function_MR>()
0ABOVW,볼륨 삼으로 해줘,<function_ZV>(volume=3)
0ABOVW,풍속 중풍으로 조정해줘,<function_NK>(speed=2)
0ABOVW,오늘 하루 어땠어,<function_MR>()
0ABOVW,영어로 설정해,<function_HS>(type=2)
0ABOVW,나서 새 앨범 들어봤어,<function_MR>()
0ABOVW,요즘 잠이 잘 안 와,<function_MR>()
0ABOVW,오늘 저녁에는 가볍게 산책을 하면서 기분을 전환해야겠어,<function_MR>()
0ABOVW,센서의 민감도를 조정하는 이유는 무엇인가요,<function_JS>(type=9)
0ABOVW,오늘 진짜 힘들었어,<function_MR>()
0ABOVW,엘이디 밝기를 이십퍼로 설정해줘,<function_WN>(brightness=1)
0ABOVW,커피 마실래,<function_MR>()
0ABOVW,청정 리포트 보여줘,<function_CE>()
0ABOVW,현재 온도 표시는 화씨입니까,<function_EW>(get=True)
0ABOVW,주말에 뭘 할지 아직 못 정했는데 그냥 영화나 볼까 생각 중이야,<function_MR>()
0ABOVW,일요일 날씨 보여줘,"<function_MO>(timeframe=9, location=""세고비아"")"
0ABOVW,약풍으로 바꿔줘,<function_NK>(speed=1)
0ABOVW,충전 위치로 되돌아가,<function_KI>()
0ABOVW,엘씨디 조명을 2로 줄여줄래,<function_WN>(brightness=2)
0ABOVW,다음 주에는 꼭 가족들이랑 외식하기로 했어,<function_MR>()
0ABOVW,수요일 오사카 날씨 비 와요,"<function_MO>(timeframe=5, location=""오사카"")"
0ABOVW,센서 민감도를 낮춰주세요,<function_QD>(get=True)
0ABOVW,감지 감도 레벨을 바꿔줄래요,<function_QD>(type=-1)
0ABOVW,산책하러 나가자,<function_MR>()
0ABOVW,주말 날씨 좀,"<function_MO>(timeframe=2, location=""0"")"
0ABOVW,엘이디 밝기 최대로 해줘,<function_WN>(brightness=5)
0ABOVW,한국어로 기기 언어 설정해줘,<function_HS>(type=1)
0ABOVW,금요일 강서구 날씨 알려줘,"<function_MO>(timeframe=7, location=""강서구"")"
0ABOVW,오늘은 그냥 집에서 푹 쉬면서 시간을 보내려고 해,<function_MR>()
0ABOVW,바이탈 사인 측정을 시작해주세요,<function_GV>()
0ABOVW,드럼 배우고 싶은데 어디서 시작하지,<function_MR>()
0ABOVW,기기 언어 영어로 바꿔줄래,<function_HS>(type=2)
0ABOVW,큰방 청정해줄래,"<function_FF>(position=""큰방"")"
0ABOVW,프라이버시 설정 활성화해줄 수 있어,<function_GN>(enable=True)
0ABOVW,전기세가 얼마나 나오는지 계산해줘,<function_HI>(type=2)
0ABOVW,내일 앙카라의 초미세먼지 수치를 보여줘,"<function_IO>(timeframe=1, location=""앙카라"")"
0ABOVW,화요일 뉴델리 대기질을 화면에 보여줘,"<function_IO>(timeframe=4, location=뉴델리)"
0ABOVW,요즘 공부하는 게 힘들어,<function_MR>()
0ABOVW,공기질 모니터링 기능 켜줘,"<function_IO>(timeframe=0, location=""0"")"
0ABOVW,토요일 퀘벡 날씨 어때,"<function_MO>(timeframe=8, location=""퀘벡"")"
0ABOVW,다른 성별의 목소리로 변경해 주세요,<function_GQ>(gender=-1)
0ABOVW,이번 주말에는 그냥 쉬면서 영화나 몰아서 볼까 고민 중이야,<function_MR>()
0ABOVW,미세먼지는 왜 건강에 나쁜가요,<function_HW>(type=1)
0ABOVW,수요일 양양 날씨 알려죠,"<function_MO>(timeframe=5, location=""양양"")"
0ABOVW,약한 바람으로 해줘,<function_NK>(speed=1)
0ABOVW,기기 언어 영어로 바꿔줄래,<function_HS>(type=2)
0ABOVW,친구랑 약속이 있었는데 갑자기 취소됐어,<function_MR>()
0ABOVW,일요일 전주 미세먼지 어때,"<function_IO>(timeframe=9, location=전주)"
0ABOVW,다음 휴가는 해외로 가고 싶어,<function_MR>()
0ABOVW,엘이디 공기질 상태 표시 기능 작동,<function_SC>(enable=True)
0ABOVW,오늘은 무슨 일을 해야 할지 모르겠어,<function_MR>()
0ABOVW,그냥 쉬고 싶어 에이아이 모드의 공간별 공기질 데이터 연동 상태로 바꿔줘,<function_BP>()
0ABOVW,엘이디 화면밝기를 삼으로 해줘,<function_WN>(brightness=3)
0ABOVW,내일 시드니 포름알데히드 농도 높아,"<function_IO>(timeframe=1, location=""시드니"")"
0ABOVW,음소거 취소해줘,<function_MV>(mute=False)
0ABOVW,나무 음성 성별 상태 알려줘,<function_GQ>(get=True)
0ABOVW,프라이버시 모드 작동시켜줘,<function_GN>(enable=True)
0ABOVW,공청기 사용시 예상되는 전기 요금,<function_HI>(type=2)
0ABOVW,주말 마스크 써야 할 정도로 공기 안 좋을까,"<function_IO>(timeframe=2, location=""0"")"
0ABOVW,단계별실에서 공기청정해주시면 좋겠어요,"<function_FF>(position=""단계별실"")"
0ABOVW,목요일 날씨,"<function_MO>(timeframe=6, location=천호동)"
0ABOVW,수요일 날씨 전망을 표시해줄 수 있어,"<function_MO>(timeframe=5, location=""0"")"
0ABOVW,새로운 옷을 사고 싶은데 어떤 스타일이 좋을지 고민이야,<function_MR>()
0ABOVW,오늘 진짜 일 많았어,<function_MR>()
0ABOVW,이번 주에는 할 일이 많아서 시간을 잘 계획해야겠어,<function_MR>()
0ABOVW,주말 날씨 알려죠,"<function_MO>(timeframe=2, location=""0"")"
0ABOVW,당장 에이아이 모드 온 하도록 도와줄거지,"<function_BP>(enable=0, type=-1)"
0ABOVW,내일은 일찍 일어나서 하루를 길게 써야겠어,<function_MR>()
0ABOVW,이 영화 결말 예상했어,<function_MR>()
0ABOVW,다음 주말에는 오랜만에 가족들이랑 시간을 보내려고 해,<function_MR>()
0ABOVW,스캐닝 청정중이야,<function_IH>(get=True)
0ABOVW,온라인 쇼핑 많이 해,<function_MR>()
0ABOVW,최근에 본 영화 중에 뭐가 제일 좋았어,<function_MR>()
0ABOVW,일반적으로 기기 설치 어디다가 하는 게 좋아,<function_CS>(type=1)
0ABOVW,내일 여기 공기 상태 알려줘,"<function_IO>(timeframe=1, location=""0"")"
0ABOVW,새로 나온 신발이 예쁘더라,<function_MR>()
0ABOVW,오늘은 뭘 입을까,<function_MR>()
0ABOVW,매너모드는 무슨 기능이야,<function_JS>(type=1)
0ABOVW,터치음을 이십퍼로 설정해줘,<function_ZV>(volume=1)
0ABOVW,주말에 만날래,<function_MR>()
0ABOVW,다음 주말에는 친구들과 등산을 가기로 했어,<function_MR>()
0ABOVW,다음 주에 있을 발표 준비를 미리 해둬야 할 것 같아,<function_MR>()
0ABOVW,공간별 실내 공기질 상태 보여줘 라,<function_IO>()
0ABOVW,이번 주에는 운동을 조금 더 열심히 해야겠어,<function_MR>()
0ABOVW,실내 공기질 테마로 화면 설정해줘,<function_HG>(theme=2)
0ABOVW,이번 달은 정말 정신없이 지나간 것 같아,<function_MR>()
0ABOVW,시드니의 목요일 날씨 안내해줘,"<function_MO>(timeframe=6, location=""시드니"")"
0ABOVW,유뷔 엘리디 작동 정지해,<function_NN>(enable=False)
0ABOVW,설정 가능한 언어에 종류 설명해 줘,<function_JS>(type=8)
0ABOVW,배터리 몇 퍼센트야,<function_JJ>()
0ABOVW,어디 가고 싶어,<function_MR>()
0ABOVW,엘이디 불빛을 60퍼센트로 올려죠,<function_WN>(brightness=3)
0ABOVW,내일 아침에는 조금 일찍 일어나서 산책이나 할까,<function_MR>()
0ABOVW,나무 음성 성별 알려줘,<function_GQ>(get=True)
0ABOVW,볼륨을 오로 맞춰줘,<function_ZV>(volume=5)
0ABOVW,다음 주에는 중요한 발표가 있어서 준비를 철저히 해야 해,<function_MR>()
0ABOVW,빵집에서 맛있는 빵 사왔어,<function_MR>()
0ABOVW,유뷔 살균 엘이디 기능 시작,<function_NN>(enable=True)
0ABOVW,볼륨 사로 해줘,<function_ZV>(volume=4)
0ABOVW,다음 주에 친구들이랑 여행 가기로 했는데 기대 돼,<function_MR>()
0ABOVW,주말 미세먼지 농도 어때,"<function_IO>(timeframe=2, location=""0"")"
0ABOVW,넌 무슨 기능이 있어,<function_EN>(type=2)
0ABOVW,커피 한 잔 할까,<function_MR>()
0ABOVW,이번에 새로 시작한 취미가 너무 재미있어,<function_MR>()
0ABOVW,목요일 싱가포르 날씨 비 와,"<function_MO>(timeframe=6, location=싱가포르)"
0ABOVW,이 영화 어때,<function_MR>()
0ABOVW,유아부실으로 가서 청정해 줘,<function_FF>(position=유아부실)
0ABOVW,지금 음소거 모드 해제해줘,<function_MV>(mute=False)
0ABOVW,이 영화 명장면이지,<function_MR>()
0ABOVW,기본 수준으로 오디오 설정을 해주세요,<function_ZV>(volume=-1)
0ABOVW,운행 다시 시작해,<function_YA>(move=2)
0ABOVW,엘이디 화면밝기를 오로 해줘,<function_WN>(brightness=5)
0ABOVW,목요일 날씨 전망을 표시해줄 수 있어,"<function_MO>(timeframe=6, location=""0"")"
0ABOVW,오늘 공기 모니터링,"<function_IO>(timeframe=0, location=""0"")"
0ABOVW,월요일 날씨 몇 도야,"<function_MO>(timeframe=3, location=""0"")"
0ABOVW,오늘 저녁은 뭘 먹어야 할지 고민이네 배는 고픈데 딱히 땡기는 게 없어,<function_MR>()
0ABOVW,일요일 여기에 공기가 나쁠까,"<function_IO>(timeframe=9, location=""0"")"
0ABOVW,오늘 하루 종일 바빴는데도 아직 해야 할 일이 많아,<function_MR>()
0ABOVW,이 기계 사용 시 어떤 거 조심해야 해,<function_DW>(type=4)
0ABOVW,월요일 다카 날씨 더워,"<function_MO>(timeframe=3, location=""다카"")"
0ABOVW,나이트 모드 작동 중이니,<function_SV>(type=3)
0ABOVW,금요일 날씨 전망을 표시해줄 수 있어,"<function_MO>(timeframe=7, location=""0"")"
0ABOVW,요즘 너무 바빠서 운동할 시간이 없어서 몸이 찌뿌둥해,<function_MR>()
0ABOVW,어떤 필터를 사야해,<function_SB>(type=2)
0ABOVW,오늘 저녁에는 친구들이랑 만나서 저녁을 먹을 예정이야,<function_MR>()
0ABOVW,스캐닝 청정 하고있어,<function_IH>(get=True)
0ABOVW,영화관에서 팝콘이랑 콜라 마시면서 영화 보고 싶다,<function_MR>()
0ABOVW,일요일 리우데자네이루 날씨 알려줘,"<function_MO>(timeframe=9, location=리우데자네이루)"
0ABOVW,일요일 블라디보스토크 날씨에 눈 오니,"<function_MO>(timeframe=9, location=""블라디보스토크"")"
