index,query,function
0ABOVW,스톡홀름 마스크 쓸 필요 있을 정도야,"<function_IO>(timeframe=0, location=스톡홀름)"
0ABOVW,오늘 싱가포르 공기질 알려주세요,"<function_IO>(timeframe=0, location=싱가포르)"
0ABOVW,지금 오사카에서 공기질이 나쁘다는 얘기 있나요,"<function_IO>(timeframe=0, location=오사카)"
0ABOVW,지금 옥수동 공기질 상태 괜찮은가,"<function_IO>(timeframe=0, location=옥수동)"
0ABOVW,지금 이스탄불 대기오염 상태 말해줘,"<function_IO>(timeframe=0, location=이스탄불)"
0ABOVW,제주 공기질 상태 알려줘,"<function_IO>(timeframe=0, location=제주)"
0ABOVW,오늘 천호동 공기질 때문에 실내가 나을까,"<function_IO>(timeframe=0, location=천호동)"
0ABOVW,당장 카르타헤나 초미세먼지 농도를 보여줘,"<function_IO>(timeframe=0, location=카르타헤나)"
0ABOVW,현재 카이로 공기 나쁘니,"<function_IO>(timeframe=0, location=카이로)"
0ABOVW,퀴토 미세먼지 어떠니,"<function_IO>(timeframe=0, location=퀴토)"
0ABOVW,타슈켄트 공기질 상태 어때요,"<function_IO>(timeframe=0, location=타슈켄트)"
0ABOVW,지금 파리 초미세먼지 농도는 몇이야,"<function_IO>(timeframe=0, location=파리)"
0ABOVW,오늘 판교 공기 어때,"<function_IO>(timeframe=0, location=판교)"
0ABOVW,현재 해운대 공기질 상황 어때,"<function_IO>(timeframe=0, location=해운대)"
0ABOVW,지금 홍콩 피엠이쩜오 때문에 외출하기 괜찮아,"<function_IO>(timeframe=0, location=홍콩)"
0ABOVW,강릉 대기질 지수가 몇인지 알려줘,"<function_IO>(timeframe=0, location=강릉)"
0ABOVW,오늘 부산 공기 어때,"<function_IO>(timeframe=0, location=부산)"
0ABOVW,샌프란시스코 대기질 지수가 몇인지 알려줘,"<function_IO>(timeframe=0, location=샌프란시스코)"
0ABOVW,샌프란시스코 대기질 지수가 몇인지,"<function_IO>(timeframe=0, location=샌프란시스코)"
0ABOVW,청주 공기질 상태를 보여줘,"<function_IO>(timeframe=0, location=청주)"
0ABOVW,현재 판교 공기질 알려주세요,"<function_IO>(timeframe=0, location=판교)"
0ABOVW,판교 공기질 상태를 보여줘,"<function_IO>(timeframe=0, location=판교)"
0ABOVW,나서 현재 하노이 공기질 알려주세요,"<function_IO>(timeframe=0, location=하노이)"
0ABOVW,내일 여기 공기 상태 알려줘,"<function_IO>(timeframe=1, location=0)"
0ABOVW,이 동네의 내일 공기질 예보를 보여줘,"<function_IO>(timeframe=1, location=0)"
0ABOVW,내일 여기에 공기가 나쁠까,"<function_IO>(timeframe=1, location=0)"
0ABOVW,내일 기기 근처 공기 상태는 어때,"<function_IO>(timeframe=1, location=0)"
0ABOVW,내일 공기질 상태 알려줘,"<function_IO>(timeframe=1, location=0)"
0ABOVW,내일 기기 주변 공기 상태는 어때,"<function_IO>(timeframe=1, location=0)"
0ABOVW,내일 미세먼지 농도 어때,"<function_IO>(timeframe=1, location=0)"
0ABOVW,내일 이 곳의 미세먼지 농도는 얼마야,"<function_IO>(timeframe=1, location=0)"
0ABOVW,내일의 오염 예보를 화면에 보여주세요,"<function_IO>(timeframe=1, location=0)"
0ABOVW,이 지역의 내일 저녁 공기질 예측을 보여줘,"<function_IO>(timeframe=1, location=0)"
0ABOVW,내일 강릉 미세먼지 어때,"<function_IO>(timeframe=1, location=강릉)"
0ABOVW,강서구에 내일 극초미세먼지 많아,"<function_IO>(timeframe=1, location=강서구)"
0ABOVW,내일 런던 공기 나쁘고 질소산화물 많을까,"<function_IO>(timeframe=1, location=런던)"
0ABOVW,내일 리마 미세먼지 때문에 마스크 필요할까,"<function_IO>(timeframe=1, location=리마)"
0ABOVW,마닐라 내일 미세먼지 어때,"<function_IO>(timeframe=1, location=마닐라)"
0ABOVW,내일 몬트리올 공기질 괜찮아,"<function_IO>(timeframe=1, location=몬트리올)"
0ABOVW,내일 바그다드의 공기질이 괜찮을지 보여줘,"<function_IO>(timeframe=1, location=바그다드)"
0ABOVW,내일 부산 초미세먼지 상태 알려줘,"<function_IO>(timeframe=1, location=부산)"
0ABOVW,내일 빈 초미세먼지 농도 어때,"<function_IO>(timeframe=1, location=빈)"
0ABOVW,내일 송도 공기질 상태 괜찮아,"<function_IO>(timeframe=1, location=송도)"
0ABOVW,내일 시드니 포름알데히드 농도 높아,"<function_IO>(timeframe=1, location=시드니)"
0ABOVW,내일 시에나 공기질 나쁜가,"<function_IO>(timeframe=1, location=시에나)"
0ABOVW,내일 아부다비 포름알데히드 농도 높아,"<function_IO>(timeframe=1, location=아부다비)"
0ABOVW,내일 아스타나의 공기질 상황을 보여줘,"<function_IO>(timeframe=1, location=아스타나)"
0ABOVW,내일 앙카라의 초미세먼지 수치를 보여줘,"<function_IO>(timeframe=1, location=앙카라)"
0ABOVW,내일 용산구 공기질 상태 확인했어,"<function_IO>(timeframe=1, location=용산구)"
0ABOVW,내일 은평구의 공기질 예보를 보여줘,"<function_IO>(timeframe=1, location=은평구)"
0ABOVW,내일 인천 공기질 안 좋아,"<function_IO>(timeframe=1, location=인천)"
0ABOVW,내일 전주 공기질 알려줘,"<function_IO>(timeframe=1, location=전주)"
0ABOVW,내일 제주시 이산화탄소 상태 알려줘,"<function_IO>(timeframe=1, location=제주시)"
0ABOVW,내일 치앙마이 초미세먼지 상황 어때,"<function_IO>(timeframe=1, location=치앙마이)"
0ABOVW,내일 카사블랑카 대기 상태 나쁘니,"<function_IO>(timeframe=1, location=카사블랑카)"
0ABOVW,내일 카트만두 초미세먼지 몇이야,"<function_IO>(timeframe=1, location=카트만두)"
0ABOVW,내일 케이프타운 이산화탄소 농도 높아,"<function_IO>(timeframe=1, location=케이프타운)"
0ABOVW,내일 후쿠오카 대기오염 괜찮아,"<function_IO>(timeframe=1, location=후쿠오카)"
0ABOVW,내일 뉴욕 미세먼지 어때,"<function_IO>(timeframe=1, location=뉴욕)"
0ABOVW,내일 도쿄의 공기질 예보를 보여줘,"<function_IO>(timeframe=1, location=도쿄)"
0ABOVW,내일 런던 미세먼지 어때,"<function_IO>(timeframe=1, location=런던)"
0ABOVW,내일 베이징의 공기질 예보를 보여줘,"<function_IO>(timeframe=1, location=베이징)"
0ABOVW,내일 서울 초미세먼지 알려줘,"<function_IO>(timeframe=1, location=서울)"
0ABOVW,내일 시드니의 공기질 예보를 보여줘,"<function_IO>(timeframe=1, location=시드니)"
0ABOVW,내일 제주시 TVOC 농도는 얼마야,"<function_IO>(timeframe=1, location=제주시)"
0ABOVW,주말 공기질 지수를 화면에 보여줘,"<function_IO>(timeframe=2, location=0)"
0ABOVW,주말 마스크 써야 할 정도로 공기 안 좋을까,"<function_IO>(timeframe=2, location=0)"
0ABOVW,주말 미세먼지 농도 어때,"<function_IO>(timeframe=2, location=0)"
0ABOVW,주말 공기질 상태 알려죠,"<function_IO>(timeframe=2, location=0)"
0ABOVW,주말 기기 주변 공기 상태는 어때,"<function_IO>(timeframe=2, location=0)"
0ABOVW,주말 여기에 공기가 나쁠까,"<function_IO>(timeframe=2, location=0)"
0ABOVW,주말 기기 근처 공기 상태는 어때,"<function_IO>(timeframe=2, location=0)"
0ABOVW,주말 여기 공기 질이 좋은 편이야,"<function_IO>(timeframe=2, location=0)"
0ABOVW,주말 나이로비 미세먼지 어때,"<function_IO>(timeframe=2, location=나이로비)"
0ABOVW,주말 로마 공기질 걱정해야 할까,"<function_IO>(timeframe=2, location=로마)"
0ABOVW,주말 모스크바의 공기질 예보를 보여줘,"<function_IO>(timeframe=2, location=모스크바)"
0ABOVW,주말 몬트리올의 공기질 예보를 보여줘,"<function_IO>(timeframe=2, location=몬트리올)"
0ABOVW,주말 베이징 미세먼지 어때,"<function_IO>(timeframe=2, location=베이징)"
0ABOVW,주말 빈 미세먼지 어때,"<function_IO>(timeframe=2, location=빈)"
0ABOVW,주말 카이로 공기질 알려줄래,"<function_IO>(timeframe=2, location=카이로)"
0ABOVW,주말 파리의 공기질 예보를 보여줘,"<function_IO>(timeframe=2, location=파리)"
0ABOVW,월요일 공기질 상태 알려줘,"<function_IO>(timeframe=3, location=0)"
0ABOVW,월요일 기기 근처 공기 상태는 어때,"<function_IO>(timeframe=3, location=0)"
0ABOVW,월요일 공기질 예보를 화면에 보여줘,"<function_IO>(timeframe=3, location=0)"
0ABOVW,나서 월요일 미세먼지 농도 어때,"<function_IO>(timeframe=3, location=0)"
0ABOVW,월요일 여기에 공기가 나쁠까,"<function_IO>(timeframe=3, location=0)"
0ABOVW,월요일 나이로비 대기질을 화면에 보여줘,"<function_IO>(timeframe=3, location=나이로비)"
0ABOVW,월요일 멕시코시티 공기질 나쁠까,"<function_IO>(timeframe=3, location=멕시코시티)"
0ABOVW,월요일 모스크바 미세먼지 어때,"<function_IO>(timeframe=3, location=모스크바)"
0ABOVW,월요일 방콕 미세먼지 어때,"<function_IO>(timeframe=3, location=방콕)"
0ABOVW,월요일 베를린 공기질 때문에 마스크 필요할까,"<function_IO>(timeframe=3, location=베를린)"
0ABOVW,월요일 자카르타 대기질을 화면에 보여줘,"<function_IO>(timeframe=3, location=자카르타)"
0ABOVW,월요일 케이프타운 미세먼지 어때,"<function_IO>(timeframe=3, location=케이프타운)"
0ABOVW,월요일 홍콩 공기질 때문에 마스크 필요할까,"<function_IO>(timeframe=3, location=홍콩)"
0ABOVW,화요일 미세먼지 농도 어때,"<function_IO>(timeframe=4, location=0)"
0ABOVW,화요일 여기에 공기가 나쁠까,"<function_IO>(timeframe=4, location=0)"
0ABOVW,나서 화요일 공기질 상태 알려줘,"<function_IO>(timeframe=4, location=0)"
0ABOVW,화요일 대기질 정보를 화면에 보여줄래,"<function_IO>(timeframe=4, location=0)"
0ABOVW,화요일 기기 근처 공기 상태는 어때,"<function_IO>(timeframe=4, location=0)"
0ABOVW,화요일 뉴델리 대기질을 화면에 보여줘,"<function_IO>(timeframe=4, location=뉴델리)"
0ABOVW,화요일 두바이 공기질 걱정해야 할까,"<function_IO>(timeframe=4, location=두바이)"
0ABOVW,화요일 리마 미세먼지 어때,"<function_IO>(timeframe=4, location=리마)"
0ABOVW,화요일 싱가포르 미세먼지 어때,"<function_IO>(timeframe=4, location=싱가포르)"
0ABOVW,화요일 이스탄불 공기질 때문에 마스크 써야 할까,"<function_IO>(timeframe=4, location=이스탄불)"
0ABOVW,화요일 자카르타 공기질 때문에 마스크 써야 할까,"<function_IO>(timeframe=4, location=자카르타)"
0ABOVW,화요일 쿠알라룸푸르 공기질 걱정해야 할까,"<function_IO>(timeframe=4, location=쿠알라룸푸르)"
0ABOVW,화요일 홍콩 공기질 때문에 마스크 써야 할까,"<function_IO>(timeframe=4, location=홍콩)"
0ABOVW,수요일 여기에 공기가 나쁠까,"<function_IO>(timeframe=5, location=0)"
0ABOVW,수요일 기기 근처 공기 상태는 어때,"<function_IO>(timeframe=5, location=0)"
0ABOVW,수요일 공기질 상태 알려줘,"<function_IO>(timeframe=5, location=0)"
0ABOVW,수요일 미세먼지 정보 보여줘,"<function_IO>(timeframe=5, location=0)"
0ABOVW,수요일 미세먼지 농도 어때,"<function_IO>(timeframe=5, location=0)"
0ABOVW,수요일 강남 미세먼지 어때,"<function_IO>(timeframe=5, location=강남)"
0ABOVW,수요일 나폴리 공기질 때문에 마스크 써야 할까,"<function_IO>(timeframe=5, location=나폴리)"
0ABOVW,수요일 노원구 대기질을 화면에 보여줘,"<function_IO>(timeframe=5, location=노원구)"
0ABOVW,수요일 두바이 TVOC 농도는 얼마야,"<function_IO>(timeframe=5, location=두바이)"
0ABOVW,수요일 방콕 공기질 걱정해야 할까,"<function_IO>(timeframe=5, location=방콕)"
0ABOVW,나서 수요일 아부다비 공기질 걱정해야 할까,"<function_IO>(timeframe=5, location=아부다비)"
0ABOVW,수요일 오사카 공기질 걱정해야 할까,"<function_IO>(timeframe=5, location=오사카)"
0ABOVW,수요일 이스탄불 미세먼지 어때,"<function_IO>(timeframe=5, location=이스탄불)"
0ABOVW,수요일 치앙마이 대기질을 화면에 보여줘,"<function_IO>(timeframe=5, location=치앙마이)"
0ABOVW,수요일 카사블랑카 공기질 걱정해야 할까,"<function_IO>(timeframe=5, location=카사블랑카)"
0ABOVW,목요일 여기에 공기가 나쁠까,"<function_IO>(timeframe=6, location=0)"
0ABOVW,목요일 기기 근처 공기 상태는 어때,"<function_IO>(timeframe=6, location=0)"
0ABOVW,목요일 공기질 상태 알려줘,"<function_IO>(timeframe=6, location=0)"
0ABOVW,목요일 미세먼지 정보 보여줘,"<function_IO>(timeframe=6, location=0)"
0ABOVW,목요일 광진구 공기질 걱정해야 할까,"<function_IO>(timeframe=6, location=광진구)"
0ABOVW,목요일 노량진 공기질 때문에 마스크 써야 할까,"<function_IO>(timeframe=6, location=노량진)"
0ABOVW,목요일 뉴델리 TVOC 농도는 얼마야,"<function_IO>(timeframe=6, location=뉴델리)"
0ABOVW,목요일 마닐라 미세먼지 어때,"<function_IO>(timeframe=6, location=마닐라)"
0ABOVW,나서 목요일 싱가포르 공기질 걱정해야 할까,"<function_IO>(timeframe=6, location=싱가포르)"
0ABOVW,목요일 옥수동 미세먼지 어때,"<function_IO>(timeframe=6, location=옥수동)"
0ABOVW,목요일 카트만두 TVOC 농도는 얼마야,"<function_IO>(timeframe=6, location=카트만두)"
0ABOVW,목요일 후쿠오카 공기질 걱정해야 할까,"<function_IO>(timeframe=6, location=후쿠오카)"
0ABOVW,금요일 공기질 상태 알려줘,"<function_IO>(timeframe=7, location=0)"
0ABOVW,나서 금요일 미세먼지 농도 어때,"<function_IO>(timeframe=7, location=0)"
0ABOVW,금요일 미세먼지 농도 어때,"<function_IO>(timeframe=7, location=0)"
0ABOVW,금요일 미세먼지 정보 보여줘,"<function_IO>(timeframe=7, location=0)"
0ABOVW,금요일 강남 대기질을 화면에 보여줘,"<function_IO>(timeframe=7, location=강남)"
0ABOVW,금요일 강릉 대기질을 화면에 보여줘,"<function_IO>(timeframe=7, location=강릉)"
0ABOVW,금요일 나폴리 공기질 걱정해야 할까,"<function_IO>(timeframe=7, location=나폴리)"
0ABOVW,금요일 수원 공기질 걱정해야 할까,"<function_IO>(timeframe=7, location=수원)"
0ABOVW,금요일 시에나 대기질을 화면에 보여줘,"<function_IO>(timeframe=7, location=시에나)"
0ABOVW,금요일 인천 대기질을 화면에 보여줘,"<function_IO>(timeframe=7, location=인천)"
0ABOVW,금요일 해남 공기질 때문에 마스크 써야 할까,"<function_IO>(timeframe=7, location=해남)"
0ABOVW,토요일 여기에 공기가 나쁠까,"<function_IO>(timeframe=8, location=0)"
0ABOVW,토요일 기기 근처 공기 상태는 어때,"<function_IO>(timeframe=8, location=0)"
0ABOVW,토요일 미세먼지 농도 어때,"<function_IO>(timeframe=8, location=0)"
0ABOVW,토요일 강서구 대기질을 화면에 보여줘,"<function_IO>(timeframe=8, location=강서구)"
0ABOVW,토요일 광진구 대기질을 화면에 보여줘,"<function_IO>(timeframe=8, location=광진구)"
0ABOVW,토요일 노량진 TVOC 농도는 얼마야,"<function_IO>(timeframe=8, location=노량진)"
0ABOVW,토요일 대구 미세먼지 어때,"<function_IO>(timeframe=8, location=대구)"
0ABOVW,토요일 시드니,"<function_IO>(timeframe=8, location=시드니)"
0ABOVW,토요일 용산구 공기질 걱정해야 할까,"<function_IO>(timeframe=8, location=용산구)"
0ABOVW,토요일 천호동 미세먼지 어때,"<function_IO>(timeframe=8, location=천호동)"
0ABOVW,토요일 하노이 공기질 걱정해야 할까,"<function_IO>(timeframe=8, location=하노이)"
0ABOVW,일요일 미세먼지 정보 보여줘,"<function_IO>(timeframe=9, location=0)"
0ABOVW,일요일 미세먼지 농도 어때,"<function_IO>(timeframe=9, location=0)"
0ABOVW,일요일 공기질 상태 알려줘,"<function_IO>(timeframe=9, location=0)"
0ABOVW,일요일 여기에 공기가 나쁠까,"<function_IO>(timeframe=9, location=0)"
0ABOVW,일요일 기기 근처 공기 상태는 어때,"<function_IO>(timeframe=9, location=0)"
0ABOVW,일요일 군산 대기질을 화면에 보여줘,"<function_IO>(timeframe=9, location=군산)"
0ABOVW,일요일 빈 대기질을 화면에 보여줘,"<function_IO>(timeframe=9, location=빈)"
0ABOVW,일요일 송도 공기질 걱정해야 할까,"<function_IO>(timeframe=9, location=송도)"
0ABOVW,일요일 옥수동 공기질 걱정해야 할까,"<function_IO>(timeframe=9, location=옥수동)"
0ABOVW,일요일 전주 미세먼지 어때,"<function_IO>(timeframe=9, location=전주)"
0ABOVW,일요일 프라하 공기질 때문에 마스크 써야 할까,"<function_IO>(timeframe=9, location=프라하)"
0ABOVW,일요일 해남 공기질 때문에 마스크 써야 할까,"<function_IO>(timeframe=9, location=해남)"
0ABOVW,일요일 해운대 대기질을 화면에 보여줘,"<function_IO>(timeframe=9, location=해운대)"
0ABOVW,날씨 몇 도야,"<function_MO>(timeframe=0, location=0)"
0ABOVW,현재 날씨 정보 표시해줄래,"<function_MO>(timeframe=0, location=0)"
0ABOVW,지금 날씨 더운지,"<function_MO>(timeframe=0, location=0)"
0ABOVW,나서 오늘 날씨 어때,"<function_MO>(timeframe=0, location=0)"
0ABOVW,강릉의 날씨 정보 표시해줄래,"<function_MO>(timeframe=0, location=강릉)"
0ABOVW,뉴욕 날씨 알려줘,"<function_MO>(timeframe=0, location=뉴욕)"
0ABOVW,현재 부산 날씨 알려주세요,"<function_MO>(timeframe=0, location=부산)"
0ABOVW,오늘 샌프란시스코 날씨 몇 도야,"<function_MO>(timeframe=0, location=샌프란시스코)"
0ABOVW,샌프란시스코의 날씨 정보 표시해줄래,"<function_MO>(timeframe=0, location=샌프란시스코)"
0ABOVW,청주 날씨 알려줘,"<function_MO>(timeframe=0, location=청주)"
0ABOVW,현재 청주 날씨 알려주세요,"<function_MO>(timeframe=0, location=청주)"
0ABOVW,지금 판교 날씨 비 와,"<function_MO>(timeframe=0, location=판교)"
0ABOVW,현재 하노이 날씨 알려주세요,"<function_MO>(timeframe=0, location=하노이)"
0ABOVW,내일 날씨 추울까,"<function_MO>(timeframe=1, location=0)"
0ABOVW,내일 날씨 전망을 표시해줄 수 있어,"<function_MO>(timeframe=1, location=0)"
0ABOVW,내일 날씨 몇 도야,"<function_MO>(timeframe=1, location=0)"
0ABOVW,내일 날씨 알려줘,"<function_MO>(timeframe=1, location=0)"
0ABOVW,강서구 내일 날씨 눈 올까,"<function_MO>(timeframe=1, location=강서구)"
0ABOVW,내일 군산 날씨 좀 알려주세요,"<function_MO>(timeframe=1, location=군산)"
0ABOVW,내일 대구 날씨 따뜻하게 입어야 할까,"<function_MO>(timeframe=1, location=대구)"
0ABOVW,내일 리마 날씨 어때,"<function_MO>(timeframe=1, location=리마)"
0ABOVW,내일 리우데자네이루 날씨에 눈 오니,"<function_MO>(timeframe=1, location=리우데자네이루)"
0ABOVW,내일 마닐라 날씨 알려주세요,"<function_MO>(timeframe=1, location=마닐라)"
0ABOVW,내일 빈 날씨 좀 알려줘,"<function_MO>(timeframe=1, location=빈)"
0ABOVW,내일 상하이 날씨 두껍게 입어야 해,"<function_MO>(timeframe=1, location=상하이)"
0ABOVW,내일 송도 날씨 상황 어때,"<function_MO>(timeframe=1, location=송도)"
0ABOVW,내일 아부다비 날씨 안내해줘,"<function_MO>(timeframe=1, location=아부다비)"
0ABOVW,내일 용산구 날씨 알려죠,"<function_MO>(timeframe=1, location=용산구)"
0ABOVW,전주 내일 날씨 더울까,"<function_MO>(timeframe=1, location=전주)"
0ABOVW,치앙마이 내일 날씨 알려주세요,"<function_MO>(timeframe=1, location=치앙마이)"
0ABOVW,내일 카사블랑카 날씨 알려줘,"<function_MO>(timeframe=1, location=카사블랑카)"
0ABOVW,내일 카트만두 날씨 몇 도야,"<function_MO>(timeframe=1, location=카트만두)"
0ABOVW,내일 후쿠오카 날씨 비 와요,"<function_MO>(timeframe=1, location=후쿠오카)"
0ABOVW,내일 도쿄 날씨 비 와,"<function_MO>(timeframe=1, location=도쿄)"
0ABOVW,내일 런던 날씨 어때,"<function_MO>(timeframe=1, location=런던)"
0ABOVW,내일 날씨 정보 표시해줄래,"<function_MO>(timeframe=1, location=베이징)"
0ABOVW,베이징의 내일 날씨 정보 표시해줄래,"<function_MO>(timeframe=1, location=베이징)"
0ABOVW,내일 서울 날씨 어때,"<function_MO>(timeframe=1, location=서울)"
0ABOVW,나서 내일 서울 날씨 비 와,"<function_MO>(timeframe=1, location=서울)"
0ABOVW,내일 시드니 날씨 알려줘,"<function_MO>(timeframe=1, location=시드니)"
